system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,random_forest_n_estimators,random_forest_n_jobs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,duration_train_test
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,443487846400,2023_10_27_14_05_07_274378,3,311.355656 total sec (00h 05m 11s),logistic-regression-pipeline,0,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,100,5,171.0,0.9941860465116279,1.0,0.9970845481049563,1026.0,0.0,0.0,0.0,6.0,0,1026,0,6,0.5,1.042821 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,228678631424,2023_10_27_14_36_00_233103,16,1118.385494 total sec (00h 18m 38s),logistic-regression-pipeline,4,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,100,5,496.3333333333333,0.9989075630252101,0.9979012760241773,0.9984041659667394,11912.0,0.3055555555555556,0.4583333333333333,0.3666666666666667,24.0,11,11887,25,13,0.7281173046787552,1.581175 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,228475154432,2023_10_27_14_36_00_287904,16,1118.254674 total sec (00h 18m 38s),logistic-regression-pipeline,5,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,500,5,496.3333333333333,0.9983183385184562,0.9967259905977166,0.9975215290905273,11912.0,0.09302325581395349,0.16666666666666666,0.11940298507462685,24.0,4,11873,39,20,0.5816963286321917,1.553858 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,229118820352,2023_10_27_14_36_00_032678,16,1133.547536 total sec (00h 18m 53s),logistic-regression-pipeline,0,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,100,5,496.3333333333333,0.9984834442665768,0.9948791134989926,0.9966780202682813,11912.0,0.08955223880597014,0.25,0.13186813186813187,24.0,6,11851,61,18,0.6224395567494964,1.477321 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,229102874624,2023_10_27_14_36_00_062828,16,1140.520987 total sec (00h 19m 00s),logistic-regression-pipeline,1,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,500,5,496.3333333333333,0.998154207567749,0.9987407656145064,0.9984474004447988,11912.0,0.11764705882352941,0.08333333333333333,0.09756097560975609,24.0,2,11897,15,22,0.5410370494739198,1.215443 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,229065965568,2023_10_27_14_36_00_123006,16,1138.841443 total sec (00h 18m 58s),logistic-regression-pipeline,2,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,1000,5,496.3333333333333,0.9979877588664375,0.9992444593687039,0.998615713746382,11912.0,0.0,0.0,0.0,24.0,0,11903,9,24,0.49962222968435194,1.189671 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,360900562944,2023_10_27_14_55_36_488356,16,1183.653186 total sec (00h 19m 43s),logistic-regression-pipeline,8,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.5,10,8,16,100,5,496.3333333333333,0.9980714405500587,0.9992444593687039,0.9986576055038174,11912.0,0.1,0.041666666666666664,0.058823529411764705,24.0,1,11903,9,23,0.5204555630176853,1.481893 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,360900562944,2023_10_27_14_55_36_501133,16,1180.071445 total sec (00h 19m 40s),logistic-regression-pipeline,9,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.5,10,8,16,500,5,496.3333333333333,0.9982388460248239,0.9992444593687039,0.9987413995636854,11912.0,0.25,0.125,0.16666666666666666,24.0,3,11903,9,21,0.5621222296843519,1.460035 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,360900562944,2023_10_27_14_55_36_487567,16,1171.981516 total sec (00h 19m 31s),logistic-regression-pipeline,6,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,1000,5,496.3333333333333,0.9979887706360513,0.9997481531229013,0.9988676871461523,11912.0,0.0,0.0,0.0,24.0,0,11909,3,24,0.49987407656145066,1.559754 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,360900820992,2023_10_27_14_55_36_513325,16,1173.408725 total sec (00h 19m 33s),logistic-regression-pipeline,10,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.5,10,8,16,1000,5,496.3333333333333,0.9984845933658865,0.9956346541302887,0.9970575872215217,11912.0,0.10344827586206896,0.25,0.14634146341463414,24.0,6,11860,52,18,0.6228173270651444,1.65291 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,410437173248,2023_10_27_15_16_00_141112,16,1154.824763 total sec (00h 19m 14s),logistic-regression-pipeline,12,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,100,5,496.3333333333333,0.9979848866498741,0.9978173270651444,0.9979010998236924,11912.0,0.0,0.0,0.0,24.0,0,11886,26,24,0.4989086635325722,1.483791 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,410437173248,2023_10_27_15_16_00_147331,16,1161.88706 total sec (00h 19m 21s),logistic-regression-pipeline,16,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,100,5,496.3333333333333,0.9979872525997987,0.9989926124916051,0.9984896794764222,11912.0,0.0,0.0,0.0,24.0,0,11900,12,24,0.49949630624580255,1.412758 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,410437173248,2023_10_27_15_16_00_141153,16,1161.081223 total sec (00h 19m 21s),logistic-regression-pipeline,13,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,500,5,496.3333333333333,0.9979892761394102,1.0,0.9989936262998994,11912.0,0.0,0.0,0.0,24.0,0,11912,0,24,0.5,1.393887 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,410437173248,2023_10_27_15_16_00_147447,16,1175.555262 total sec (00h 19m 35s),logistic-regression-pipeline,17,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,500,5,496.3333333333333,0.9979892761394102,1.0,0.9989936262998994,11912.0,0.0,0.0,0.0,24.0,0,11912,0,24,0.5,1.25524 total sec (00h 00m 01s)
