system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,corr_matrix_img_save_path,feature_column_names_sorted,feature_column_values_sorted,duration_train_test
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49772531712,2023_10_25_19_45_48_045791,3,0.024255 total sec (00h 00m 00s),pearson-correlation-pipeline,487,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: pearson): ['ptrs_ancestor_4', 'ptrs_children_5', 'chns_ancestor_8', 'ptrs_children_3', 'ptrs_children_2', 'block_position_in_chunk', 'chns_ancestor_1', 'chns_ancestor_3', 'ptrs_ancestor_3', 'chns_children_8', 'ptrs_ancestor_8', 'ptrs_ancestor_7', 'chunk_ptrs', 'ptrs_ancestor_5', 'chns_children_2', 'ptrs_children_4', 'ptrs_children_8', 'chn_addr', 'chunk_vns', 'chns_children_6', 'ptrs_ancestor_1', 'ptrs_ancestor_6', 'chns_ancestor_5', 'chns_ancestor_2', 'ptrs_children_7', 'chunk_byte_size', 'ptrs_ancestor_2', 'chns_children_4', 'chns_ancestor_7', 'chunk_number_in_heap', 'chns_children_3', 'ptrs_children_1', 'chns_ancestor_4', 'chns_children_5', 'ptrs_children_6', 'chns_ancestor_6', 'chns_children_1', 'chns_children_7', 'entropy']","descending_best_column_values (algorithm: pearson): [2.121161539414461, 2.1156404191148175, 2.0964455683557777, 2.076315971654127, 2.0762612685345045, 2.0676345418195754, 2.0674971965499593, 2.0572374826770257, 2.0570330699842865, 2.05068709950648, 2.049170900370577, 2.048182712733295, 2.0458924453544487, 2.045740451572537, 2.0381246611613033, 2.0322674415613236, 2.0179814722847036, 2.0159826872418134, 2.01315321866885, 2.011210501442032, 2.0078853913073558, 2.0074807829384578, 1.997446433741663, 1.990507211657968, 1.9810393325507982, 1.9772394659778822, 1.9717155915671882, 1.9513003243102596, 1.9470299219402454, 1.943286041025599, 1.940734273227806, 1.93949939106547, 1.9366312793946068, 1.9342005937958993, 1.9264830614870934, 1.926309682112046, 1.9253528140509466, 1.9047517278991595, 1.4400985792193088]",1.448197 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49772531712,2023_10_25_19_45_48_045948,3,0.033516 total sec (00h 00m 00s),pearson-correlation-pipeline,490,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: pearson): ['ptrs_children_5', 'ptrs_children_2', 'ptrs_children_3', 'chns_ancestor_6', 'ptrs_children_7', 'ptrs_ancestor_7', 'chns_ancestor_8', 'chn_addr', 'chunk_number_in_heap', 'ptrs_children_4', 'ptrs_ancestor_2', 'chns_children_2', 'chns_ancestor_4', 'chns_children_4', 'ptrs_ancestor_8', 'chns_children_5', 'chns_children_8', 'chns_children_6', 'ptrs_children_1', 'chns_children_7', 'ptrs_ancestor_1', 'chns_ancestor_2', 'chunk_byte_size', 'ptrs_ancestor_4', 'chns_children_3', 'chns_ancestor_1', 'block_position_in_chunk', 'chns_ancestor_3', 'chns_ancestor_5', 'ptrs_ancestor_6', 'ptrs_ancestor_3', 'chunk_ptrs', 'ptrs_children_8', 'chns_children_1', 'chns_ancestor_7', 'ptrs_ancestor_5', 'ptrs_children_6', 'chunk_vns', 'filtered', 'entropy']","descending_best_column_values (algorithm: pearson): [2.153867111693249, 2.1196544435061013, 2.1143515938583435, 2.101649818659039, 2.0952853554422965, 2.093034177453103, 2.0850138819432806, 2.078800589595479, 2.0772100257075103, 2.0753225496746412, 2.064951194770957, 2.0616523033387995, 2.052091962258306, 2.04923586475191, 2.045152719877836, 2.0404878702654865, 2.037926632787869, 2.0376664908940434, 2.03157806511939, 2.02309095194515, 2.016833801879789, 2.0084332084047904, 2.0078621098795892, 2.003047891897269, 2.0028775101552583, 2.000865871619188, 1.9986486897349405, 1.9950761487388629, 1.9860811654581132, 1.9760277553298795, 1.9602132369829701, 1.956969392180813, 1.9424303867169506, 1.928801688362441, 1.9247036548247916, 1.9194898761719594, 1.9033801097001448, 1.7895407172584348, 1.759257550988485, 1.6290888765828784]",1.588467 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49726169088,2023_10_25_19_45_48_302027,3,0.036072 total sec (00h 00m 00s),pearson-correlation-pipeline,487,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: pearson): ['ptrs_ancestor_4', 'ptrs_children_5', 'chns_ancestor_8', 'ptrs_children_3', 'ptrs_children_2', 'block_position_in_chunk', 'chns_ancestor_1', 'chns_ancestor_3', 'ptrs_ancestor_3', 'chns_children_8', 'ptrs_ancestor_8', 'ptrs_ancestor_7', 'chunk_ptrs', 'ptrs_ancestor_5', 'chns_children_2', 'ptrs_children_4', 'ptrs_children_8', 'chn_addr', 'chunk_vns', 'chns_children_6', 'ptrs_ancestor_1', 'ptrs_ancestor_6', 'chns_ancestor_5', 'chns_ancestor_2', 'ptrs_children_7', 'chunk_byte_size', 'ptrs_ancestor_2', 'chns_children_4', 'chns_ancestor_7', 'chunk_number_in_heap', 'chns_children_3', 'ptrs_children_1', 'chns_ancestor_4', 'chns_children_5', 'ptrs_children_6', 'chns_ancestor_6', 'chns_children_1', 'chns_children_7', 'entropy']","descending_best_column_values (algorithm: pearson): [2.1211615394144614, 2.1156404191148184, 2.0964455683557777, 2.076315971654128, 2.0762612685345045, 2.0676345418195763, 2.067497196549959, 2.0572374826770257, 2.057033069984288, 2.0506870995064808, 2.049170900370577, 2.048182712733296, 2.045892445354448, 2.0457404515725357, 2.038124661161305, 2.032267441561322, 2.0179814722847045, 2.0159826872418143, 2.0131532186688528, 2.011210501442032, 2.007885391307357, 2.0074807829384587, 1.9974464337416642, 1.9905072116579696, 1.9810393325507993, 1.9772394659778847, 1.9717155915671911, 1.9513003243102605, 1.947029921940246, 1.9432860410256012, 1.9407342732278068, 1.9394993910654714, 1.9366312793946052, 1.9342005937958993, 1.9264830614870947, 1.9263096821120473, 1.925352814050947, 1.9047517278991595, 1.4400985792193088]",1.453414 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49486868480,2023_10_25_19_45_48_493541,3,0.039275 total sec (00h 00m 00s),pearson-correlation-pipeline,490,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: pearson): ['ptrs_children_5', 'ptrs_children_2', 'ptrs_children_3', 'chns_ancestor_6', 'ptrs_children_7', 'ptrs_ancestor_7', 'chns_ancestor_8', 'chn_addr', 'chunk_number_in_heap', 'ptrs_children_4', 'ptrs_ancestor_2', 'chns_children_2', 'chns_ancestor_4', 'chns_children_4', 'ptrs_ancestor_8', 'chns_children_5', 'chns_children_8', 'chns_children_6', 'ptrs_children_1', 'chns_children_7', 'ptrs_ancestor_1', 'chns_ancestor_2', 'chunk_byte_size', 'ptrs_ancestor_4', 'chns_children_3', 'chns_ancestor_1', 'block_position_in_chunk', 'chns_ancestor_3', 'chns_ancestor_5', 'ptrs_ancestor_6', 'ptrs_ancestor_3', 'chunk_ptrs', 'ptrs_children_8', 'chns_children_1', 'chns_ancestor_7', 'ptrs_ancestor_5', 'ptrs_children_6', 'chunk_vns', 'filtered', 'entropy']","descending_best_column_values (algorithm: pearson): [2.15386711169325, 2.1196544435061013, 2.1143515938583413, 2.10164981865904, 2.0952853554422974, 2.093034177453104, 2.085013881943281, 2.078800589595478, 2.077210025707511, 2.0753225496746426, 2.0649511947709587, 2.0616523033388003, 2.052091962258304, 2.049235864751912, 2.0451527198778368, 2.040487870265487, 2.0379266327878693, 2.0376664908940434, 2.0315780651193895, 2.0230909519451497, 2.0168338018797884, 2.008433208404791, 2.0078621098795906, 2.0030478918972685, 2.0028775101552587, 2.0008658716191903, 1.9986486897349411, 1.9950761487388626, 1.9860811654581136, 1.97602775532988, 1.96021323698297, 1.956969392180813, 1.9424303867169497, 1.928801688362441, 1.9247036548247904, 1.9194898761719603, 1.9033801097001444, 1.7895407172584354, 1.759257550988485, 1.6290888765828777]",1.404672 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49772531712,2023_10_25_19_45_48_045791,3,0.024255 total sec (00h 00m 00s),kendall-correlation-pipeline,487,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: kendall): ['entropy', 'ptrs_children_6', 'chunk_ptrs', 'chunk_vns', 'ptrs_ancestor_1', 'ptrs_ancestor_3', 'ptrs_ancestor_4', 'chns_ancestor_1', 'ptrs_children_8', 'chns_children_4', 'ptrs_ancestor_2', 'block_position_in_chunk', 'chn_addr', 'chunk_number_in_heap', 'chunk_byte_size', 'ptrs_children_2', 'ptrs_ancestor_5', 'chns_children_8', 'ptrs_ancestor_7', 'chns_ancestor_2', 'ptrs_children_3', 'chns_children_6', 'ptrs_children_5', 'ptrs_children_1', 'ptrs_children_4', 'chns_ancestor_6', 'chns_children_7', 'chns_ancestor_5', 'chns_ancestor_8', 'chns_children_5', 'chns_ancestor_7', 'ptrs_ancestor_6', 'chns_ancestor_3', 'chns_children_1', 'chns_children_3', 'chns_ancestor_4', 'chns_children_2', 'ptrs_ancestor_8', 'ptrs_children_7']","descending_best_column_values (algorithm: kendall): [2.279592398825245, 1.935231542350494, 1.9321130851077146, 1.93137405666479, 1.925709723307115, 1.9201641733625463, 1.8740494089097437, 1.860682958917291, 1.845699236350463, 1.8340875838065813, 1.8319948607184728, 1.82307906833254, 1.7939116624310172, 1.78845773262279, 1.7604403341825798, 1.7504078443126243, 1.7492552418740266, 1.7456561541143087, 1.7391386307282362, 1.7338788291518241, 1.7334454753292565, 1.7310115445480163, 1.7260434465090766, 1.719109733607514, 1.711733137545757, 1.7086658726089337, 1.7062888704266674, 1.7013183843223518, 1.6957277053669875, 1.6884654471768077, 1.6857638332053333, 1.6670562349373668, 1.6658170347118066, 1.6642156746120405, 1.6350709040401699, 1.607763100681418, 1.6077339771458692, 1.586022910937367, 1.576797702190773]",1.610783 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49772531712,2023_10_25_19_45_48_045948,3,0.033516 total sec (00h 00m 00s),kendall-correlation-pipeline,490,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: kendall): ['entropy', 'ptrs_children_8', 'filtered', 'chunk_vns', 'block_position_in_chunk', 'ptrs_children_1', 'chns_ancestor_7', 'chns_children_6', 'chns_children_1', 'chns_children_8', 'ptrs_children_3', 'chunk_byte_size', 'ptrs_children_5', 'ptrs_children_6', 'chns_ancestor_4', 'chunk_number_in_heap', 'chns_ancestor_6', 'ptrs_ancestor_6', 'chns_ancestor_8', 'ptrs_ancestor_7', 'ptrs_ancestor_2', 'ptrs_ancestor_5', 'chns_children_4', 'chns_children_3', 'chn_addr', 'chns_children_7', 'chns_ancestor_1', 'chns_ancestor_3', 'chunk_ptrs', 'ptrs_ancestor_8', 'ptrs_children_7', 'ptrs_ancestor_4', 'ptrs_children_4', 'chns_ancestor_2', 'ptrs_ancestor_1', 'chns_children_5', 'chns_ancestor_5', 'ptrs_children_2', 'ptrs_ancestor_3', 'chns_children_2']","descending_best_column_values (algorithm: kendall): [2.796241665357817, 1.8180179265600291, 1.8154563137710173, 1.7926439270571748, 1.7769656445517308, 1.7764260972757624, 1.7690372619701316, 1.7663161165205585, 1.7624658289336883, 1.7525115681613177, 1.7429946626069157, 1.7400556446950135, 1.7389204784281154, 1.7369862273745096, 1.7310723738057052, 1.7243538851965035, 1.721199918062139, 1.7149386164373424, 1.7121787256661547, 1.7088570605265772, 1.7086991346478801, 1.706139256759918, 1.6732193857731832, 1.6586196278991148, 1.6580020054374958, 1.6427776616713592, 1.6390181852505812, 1.6293520503581775, 1.6210179223482117, 1.6188324477434957, 1.5989985347912277, 1.5952781120756183, 1.5924248415355187, 1.5838695639705462, 1.5827163015131533, 1.562579405942038, 1.5539139849149632, 1.5460343455808847, 1.5389281674911799, 1.515338874949218]",1.579541 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49726169088,2023_10_25_19_45_48_302027,3,0.036072 total sec (00h 00m 00s),kendall-correlation-pipeline,487,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: kendall): ['entropy', 'ptrs_children_6', 'chunk_ptrs', 'chunk_vns', 'ptrs_ancestor_1', 'ptrs_ancestor_3', 'ptrs_ancestor_4', 'chns_ancestor_1', 'ptrs_children_8', 'chns_children_4', 'ptrs_ancestor_2', 'block_position_in_chunk', 'chn_addr', 'chunk_number_in_heap', 'chunk_byte_size', 'ptrs_children_2', 'ptrs_ancestor_5', 'chns_children_8', 'ptrs_ancestor_7', 'chns_ancestor_2', 'ptrs_children_3', 'chns_children_6', 'ptrs_children_5', 'ptrs_children_1', 'ptrs_children_4', 'chns_ancestor_6', 'chns_children_7', 'chns_ancestor_5', 'chns_ancestor_8', 'chns_children_5', 'chns_ancestor_7', 'ptrs_ancestor_6', 'chns_ancestor_3', 'chns_children_1', 'chns_children_3', 'chns_ancestor_4', 'chns_children_2', 'ptrs_ancestor_8', 'ptrs_children_7']","descending_best_column_values (algorithm: kendall): [2.279592398825245, 1.935231542350494, 1.9321130851077146, 1.93137405666479, 1.925709723307115, 1.9201641733625463, 1.8740494089097437, 1.860682958917291, 1.845699236350463, 1.8340875838065813, 1.8319948607184728, 1.82307906833254, 1.7939116624310172, 1.78845773262279, 1.7604403341825798, 1.7504078443126243, 1.7492552418740266, 1.7456561541143087, 1.7391386307282362, 1.7338788291518241, 1.7334454753292565, 1.7310115445480163, 1.7260434465090766, 1.719109733607514, 1.711733137545757, 1.7086658726089337, 1.7062888704266674, 1.7013183843223518, 1.6957277053669875, 1.6884654471768077, 1.6857638332053333, 1.6670562349373668, 1.6658170347118066, 1.6642156746120405, 1.6350709040401699, 1.607763100681418, 1.6077339771458692, 1.586022910937367, 1.576797702190773]",1.633502 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49486868480,2023_10_25_19_45_48_493541,3,0.039275 total sec (00h 00m 00s),kendall-correlation-pipeline,490,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: kendall): ['entropy', 'ptrs_children_8', 'filtered', 'chunk_vns', 'block_position_in_chunk', 'ptrs_children_1', 'chns_ancestor_7', 'chns_children_6', 'chns_children_1', 'chns_children_8', 'ptrs_children_3', 'chunk_byte_size', 'ptrs_children_5', 'ptrs_children_6', 'chns_ancestor_4', 'chunk_number_in_heap', 'chns_ancestor_6', 'ptrs_ancestor_6', 'chns_ancestor_8', 'ptrs_ancestor_7', 'ptrs_ancestor_2', 'ptrs_ancestor_5', 'chns_children_4', 'chns_children_3', 'chn_addr', 'chns_children_7', 'chns_ancestor_1', 'chns_ancestor_3', 'chunk_ptrs', 'ptrs_ancestor_8', 'ptrs_children_7', 'ptrs_ancestor_4', 'ptrs_children_4', 'chns_ancestor_2', 'ptrs_ancestor_1', 'chns_children_5', 'chns_ancestor_5', 'ptrs_children_2', 'ptrs_ancestor_3', 'chns_children_2']","descending_best_column_values (algorithm: kendall): [2.796241665357817, 1.8180179265600291, 1.8154563137710173, 1.7926439270571748, 1.7769656445517308, 1.7764260972757624, 1.7690372619701316, 1.7663161165205585, 1.7624658289336883, 1.7525115681613177, 1.7429946626069157, 1.7400556446950135, 1.7389204784281154, 1.7369862273745096, 1.7310723738057052, 1.7243538851965035, 1.721199918062139, 1.7149386164373424, 1.7121787256661547, 1.7088570605265772, 1.7086991346478801, 1.706139256759918, 1.6732193857731832, 1.6586196278991148, 1.6580020054374958, 1.6427776616713592, 1.6390181852505812, 1.6293520503581775, 1.6210179223482117, 1.6188324477434957, 1.5989985347912277, 1.5952781120756183, 1.5924248415355187, 1.5838695639705462, 1.5827163015131533, 1.562579405942038, 1.5539139849149632, 1.5460343455808847, 1.5389281674911799, 1.515338874949218]",1.697791 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49772531712,2023_10_25_19_45_48_045791,3,0.024255 total sec (00h 00m 00s),spearman-correlation-pipeline,487,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_spearman_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: spearman): ['entropy', 'ptrs_children_6', 'chunk_ptrs', 'chunk_vns', 'ptrs_ancestor_1', 'ptrs_ancestor_3', 'ptrs_ancestor_4', 'chns_ancestor_1', 'ptrs_children_8', 'chns_children_4', 'ptrs_ancestor_2', 'block_position_in_chunk', 'chn_addr', 'chunk_number_in_heap', 'chunk_byte_size', 'ptrs_children_2', 'ptrs_ancestor_5', 'chns_children_8', 'ptrs_ancestor_7', 'ptrs_children_3', 'chns_ancestor_2', 'chns_children_6', 'ptrs_children_5', 'ptrs_children_1', 'ptrs_children_4', 'chns_ancestor_6', 'chns_children_7', 'chns_ancestor_5', 'chns_ancestor_8', 'chns_children_5', 'chns_ancestor_7', 'chns_ancestor_3', 'ptrs_ancestor_6', 'chns_children_1', 'chns_children_3', 'chns_children_2', 'chns_ancestor_4', 'ptrs_ancestor_8', 'ptrs_children_7']","descending_best_column_values (algorithm: spearman): [2.575751445219572, 2.0694309141824676, 2.067662486862286, 2.0665415714097315, 2.05619784658873, 2.048965064769729, 1.9987850591934504, 1.9872298909240964, 1.9669551761688306, 1.9499500556360143, 1.9466617349374902, 1.9350941589681379, 1.9042370507141644, 1.8948848079659621, 1.869045203716898, 1.859163376917713, 1.855563500214928, 1.85088618686038, 1.8458507367888217, 1.8376702041260398, 1.8365112705302478, 1.8336868863123603, 1.8301798073885134, 1.819232846163691, 1.8087162029836492, 1.8075523864912126, 1.8063345846456293, 1.8010938494630242, 1.7921897027296891, 1.7871253430454106, 1.7794532224951403, 1.7592321012397778, 1.7591656798049322, 1.756125134663663, 1.7224434073098729, 1.6930713791714913, 1.6910581696002418, 1.6668489662640782, 1.6556757846384311]",1.392605 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49726169088,2023_10_25_19_45_48_302027,3,0.036072 total sec (00h 00m 00s),spearman-correlation-pipeline,487,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_spearman_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: spearman): ['entropy', 'ptrs_children_6', 'chunk_ptrs', 'chunk_vns', 'ptrs_ancestor_1', 'ptrs_ancestor_3', 'ptrs_ancestor_4', 'chns_ancestor_1', 'ptrs_children_8', 'chns_children_4', 'ptrs_ancestor_2', 'block_position_in_chunk', 'chn_addr', 'chunk_number_in_heap', 'chunk_byte_size', 'ptrs_children_2', 'ptrs_ancestor_5', 'chns_children_8', 'ptrs_ancestor_7', 'ptrs_children_3', 'chns_ancestor_2', 'chns_children_6', 'ptrs_children_5', 'ptrs_children_1', 'ptrs_children_4', 'chns_ancestor_6', 'chns_children_7', 'chns_ancestor_5', 'chns_ancestor_8', 'chns_children_5', 'chns_ancestor_7', 'chns_ancestor_3', 'ptrs_ancestor_6', 'chns_children_1', 'chns_children_3', 'chns_children_2', 'chns_ancestor_4', 'ptrs_ancestor_8', 'ptrs_children_7']","descending_best_column_values (algorithm: spearman): [2.575751445219572, 2.0694309141824676, 2.067662486862286, 2.0665415714097315, 2.05619784658873, 2.048965064769729, 1.9987850591934504, 1.9872298909240964, 1.9669551761688306, 1.9499500556360143, 1.9466617349374902, 1.9350941589681379, 1.9042370507141644, 1.8948848079659621, 1.869045203716898, 1.859163376917713, 1.855563500214928, 1.85088618686038, 1.8458507367888217, 1.8376702041260398, 1.8365112705302478, 1.8336868863123603, 1.8301798073885134, 1.819232846163691, 1.8087162029836492, 1.8075523864912126, 1.8063345846456293, 1.8010938494630242, 1.7921897027296891, 1.7871253430454106, 1.7794532224951403, 1.7592321012397778, 1.7591656798049322, 1.756125134663663, 1.7224434073098729, 1.6930713791714913, 1.6910581696002418, 1.6668489662640782, 1.6556757846384311]",1.282782 total sec (00h 00m 01s)
