system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,nb_node_features,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,first_gcn_training_epochs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,duration_train_test
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,415519756288,2023_10_27_14_12_09_637925,3,184.733269 total sec (00h 03m 04s),128,first-gcn-pipeline,5,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.5,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,1.147288 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,294567337984,2023_10_27_14_21_55_199574,3,378.757991 total sec (00h 06m 18s),128,first-gcn-pipeline,0,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,0.291942 total sec (00h 00m 00s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,294138658816,2023_10_27_14_21_56_141728,3,380.48406 total sec (00h 06m 20s),128,first-gcn-pipeline,4,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.0,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,50.980283 total sec (00h 00m 50s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,294138658816,2023_10_27_14_21_56_142032,3,380.473461 total sec (00h 06m 20s),128,first-gcn-pipeline,5,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,1.5,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,74.116176 total sec (00h 01m 14s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,294247235584,2023_10_27_14_21_55_996702,3,381.371084 total sec (00h 06m 21s),128,first-gcn-pipeline,1,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,74.750806 total sec (00h 01m 14s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,294138658816,2023_10_27_14_21_56_141673,3,385.974983 total sec (00h 06m 25s),128,first-gcn-pipeline,3,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.0,0.5,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,75.363575 total sec (00h 01m 15s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,294226808832,2023_10_27_14_21_56_028039,3,389.249208 total sec (00h 06m 29s),128,first-gcn-pipeline,2,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.5,10,8,16,20,151.5,0.9934426229508196,1.0,0.9967105263157894,909.0,0.0,0.0,0.0,6.0,0,909,0,6,0.5,73.084732 total sec (00h 01m 13s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,228816506880,2023_10_27_14_36_00_206361,16,1118.776647 total sec (00h 18m 38s),128,first-gcn-pipeline,3,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,20,214.13333333333333,0.9985627595017567,0.9733810709838107,0.9858111303799464,6424.0,0.109375,0.7,0.18918918918918917,30.0,21,6253,171,9,0.8366905354919053,1.564503 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,360900562944,2023_10_27_14_55_36_489114,16,1169.960506 total sec (00h 19m 29s),128,first-gcn-pipeline,7,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,20,214.13333333333333,0.996996996996997,0.9819427148194272,0.9894125950905811,6424.0,0.08661417322834646,0.36666666666666664,0.14012738853503184,30.0,11,6308,116,19,0.674304690743047,1.067542 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,360900562944,2023_10_27_14_55_36_513213,16,1191.85076 total sec (00h 19m 51s),128,first-gcn-pipeline,11,gcn-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.5,10,8,16,20,214.13333333333333,0.9974972626310027,0.9926836861768369,0.9950846531949755,6424.0,0.22950819672131148,0.4666666666666667,0.3076923076923077,30.0,14,6377,47,16,0.7296751764217518,2.844195 total sec (00h 00m 02s)
