system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,random_forest_n_estimators,random_forest_n_jobs,nb_input_graphs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,end_time,duration
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55216410624,2023_10_21_19_26_33_627222,0,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,0.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_07_515303,33.888081 total sec (00h 00m 33s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55207641088,2023_10_21_19_26_33_631716,4,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,1.0,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_07_853283,34.221567 total sec (00h 00m 34s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55208157184,2023_10_21_19_26_33_631211,5,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,1.0,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_07_955351,34.32414 total sec (00h 00m 34s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55207641088,2023_10_21_19_26_33_631586,1,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,0.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_08_531515,34.899929 total sec (00h 00m 34s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55207641088,2023_10_21_19_26_33_631652,2,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,0.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_09_711353,36.079701 total sec (00h 00m 36s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,46977097728,2023_10_21_19_27_07_858536,8,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,1.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_36_474070,28.615534 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,46911213568,2023_10_21_19_27_07_959174,9,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,1.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_37_465497,29.506323 total sec (00h 00m 29s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,46975594496,2023_10_21_19_27_07_242514,6,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,1.0,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_37_590539,30.348025 total sec (00h 00m 30s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,46954164224,2023_10_21_19_27_08_537737,10,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,0.5,1.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_27_39_166911,30.629174 total sec (00h 00m 30s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,46928044032,2023_10_21_19_27_36_294124,12,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,"['node2vec', 'chunk']",128,16,50,1.0,0.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_19_28_05_813546,29.519422 total sec (00h 00m 29s)
